Original Filename,Duplicate Count,Moved Filenames
"Duan et al. - 2022 - A novel load balancing scheme for mobile edge comp.pdf",1,"Duan et al. - 2022 - A novel load balancing scheme for mobile edge comp_1.pdf"
"Enoch Oluwademilade Sodiya et al. - 2024 - Current state and prospects of edge computing with.pdf",1,"Enoch Oluwademilade Sodiya et al. - 2024 - Current state and prospects of edge computing with_1.pdf"
"Ernawati and Febiansyah - 2022 - Peer to peer (P2P) and cloud computing on infrastr.pdf",1,"Ernawati and Febiansyah - 2022 - Peer to peer (P2P) and cloud computing on infrastr_1.pdf"
"Et al. Sreenivasulu Gogula - 2023 - A Study Resource Optimization Techniques Based Job Scheduling in Cloud Computing.pdf",1,"Et al. Sreenivasulu Gogula - 2023 - A Study Resource Optimization Techniques Based Job Scheduling in Cloud Computing_1.pdf"
"Feller et al. - 2012 - A case for fully decentralized dynamic VM consolid.pdf",1,"Feller et al. - 2012 - A case for fully decentralized dynamic VM consolid_1.pdf"
"Feng et al. - 2025 - Alternative Mixed Integer Linear Programming Optim.pdf",1,"Feng et al. - 2025 - Alternative Mixed Integer Linear Programming Optim_1.pdf"
"GAHR_Volume 1_Issue ویژه نامه زمستان2019_Pages 72-87.pdf",1,"GAHR_Volume 1_Issue ویژه نامه زمستان2019_Pages 72-87_1.pdf"
"Gand et al. - 2020 - Serverless Container Cluster Management for Lightw.pdf",1,"Gand et al. - 2020 - Serverless Container Cluster Management for Lightw_1.pdf"
"Giunta et al. - 2011 - A GPU Accelerated High Performance Cloud Computing.pdf",1,"Giunta et al. - 2011 - A GPU Accelerated High Performance Cloud Computing_1.pdf"
"Gkagkas et al. - 2024 - The Advantage of the 5G Network for Enhancing the .pdf",1,"Gkagkas et al. - 2024 - The Advantage of the 5G Network for Enhancing the _1.pdf"
"Gowanlock - 2019 - Hybrid CPUGPU clustering in shared memory on the .pdf",1,"Gowanlock - 2019 - Hybrid CPUGPU clustering in shared memory on the _1.pdf"
"Grosu et al. - 2022 - Editorial for the Special Section on Energy-Effici.pdf",1,"Grosu et al. - 2022 - Editorial for the Special Section on Energy-Effici_1.pdf"
"Gupta et al. - 2022 - Chasing Carbon The Elusive Environmental Footprint of Computing.pdf",2,"Gupta et al. - 2022 - Chasing Carbon The Elusive Environmental Footprint of Computing_1.pdf|Gupta et al. - 2022 - Chasing Carbon The Elusive Environmental Footprint of Computing_2.pdf"
"Gusev - 2022 - Scalable Dew Computing.pdf",1,"Gusev - 2022 - Scalable Dew Computing_1.pdf"
"Habibi et al. - 2020 - Fog Computing A Comprehensive Architectural Surve.pdf",1,"Habibi et al. - 2020 - Fog Computing A Comprehensive Architectural Surve_1.pdf"
"Hammoud et al. - 2021 - An Architecture for Distributed Electronic Documen.pdf",1,"Hammoud et al. - 2021 - An Architecture for Distributed Electronic Documen_1.pdf"
"Hasan et al. - 2022 - Blockchain Technology on Smart Grid, Energy Tradin.pdf",2,"Hasan et al. - 2022 - Blockchain Technology on Smart Grid, Energy Tradin_1.pdf|Hasan et al. - 2022 - Blockchain Technology on Smart Grid, Energy Tradin_2.pdf"
"Hashim Yosuf et al. - 2022 - Scheduling Algorithm for Grid Computing Using Shor.pdf",1,"Hashim Yosuf et al. - 2022 - Scheduling Algorithm for Grid Computing Using Shor_1.pdf"
"Hassan et al. - 2021 - Survey on serverless computing.pdf",1,"Hassan et al. - 2021 - Survey on serverless computing_1.pdf"
"Havers et al. - 2019 - DRIVEN a Framework for Efficient Data Retrieval a.pdf",1,"Havers et al. - 2019 - DRIVEN a Framework for Efficient Data Retrieval a_1.pdf"
"Hayward and Chiang - 2015 - Parallelizing fully homomorphic encryption for a c.pdf",1,"Hayward and Chiang - 2015 - Parallelizing fully homomorphic encryption for a c_1.pdf"
"Hewa Majeed Zangana et al. - 2024 - Systematic Review of Decentralized and Collaborative Computing Models in Cloud Architectures for Dis.pdf",1,"Hewa Majeed Zangana et al. - 2024 - Systematic Review of Decentralized and Collaborative Computing Models in Cloud Architectures for Dis_1.pdf"
"Hmissi and Ouni - 2021 - An MQTT Brokers Distribution Based on Mist Computi.pdf",1,"Hmissi and Ouni - 2021 - An MQTT Brokers Distribution Based on Mist Computi_1.pdf"
"Hu et al. - 2019 - Cluster-Scheduling Big Graph Traversal Task for Pa.pdf",1,"Hu et al. - 2019 - Cluster-Scheduling Big Graph Traversal Task for Pa_1.pdf"
"Jatla - 2022 - Fog Computing.pdf",1,"Jatla - 2022 - Fog Computing_1.pdf"
"Jo and Han - 2018 - Convergence P2P cloud computing.pdf",1,"Jo and Han - 2018 - Convergence P2P cloud computing_1.pdf"
"Kaur - 2024 - Cloud Computing.pdf",1,"Kaur - 2024 - Cloud Computing_1.pdf"
"Kehne - 2019 - Transparent Memory Extension for Shared GPUs.pdf",1,"Kehne - 2019 - Transparent Memory Extension for Shared GPUs_1.pdf"
"Kempeneers et al. - 2022 - Parallel Processing Strategies for Geospatial Data.pdf",1,"Kempeneers et al. - 2022 - Parallel Processing Strategies for Geospatial Data_1.pdf"
"Kim et al. - 2022 - Secure and Robust Internet of Things with High-Spe.pdf",1,"Kim et al. - 2022 - Secure and Robust Internet of Things with High-Spe_1.pdf"
"Kratzke - 2018 - A Brief History of Cloud Application Architectures.pdf",1,"Kratzke - 2018 - A Brief History of Cloud Application Architectures_1.pdf"
"Lee et al. - 2023 - Impact of Secure Container Runtimes on File IO Pe.pdf",1,"Lee et al. - 2023 - Impact of Secure Container Runtimes on File IO Pe_1.pdf"
"Liu et al. - 2021 - Blockchain-enabled fog resource access and grantin.pdf",1,"Liu et al. - 2021 - Blockchain-enabled fog resource access and grantin_1.pdf"
"Lo et al. - 2014 - Implementation and Evaluation of Large-Scale Video.pdf",1,"Lo et al. - 2014 - Implementation and Evaluation of Large-Scale Video_1.pdf"
"Lu et al. - 2020 - An efficient and secure data sharing scheme for mo.pdf",1,"Lu et al. - 2020 - An efficient and secure data sharing scheme for mo_1.pdf"
"Luo et al. - 2021 - Resource Scheduling in Edge Computing A Survey.pdf",1,"Luo et al. - 2021 - Resource Scheduling in Edge Computing A Survey_1.pdf"
"López Escobar et al. - 2022 - In-depth analysis and open challenges of Mist Comp.pdf",2,"López Escobar et al. - 2022 - In-depth analysis and open challenges of Mist Comp_1.pdf|López Escobar et al. - 2022 - In-depth analysis and open challenges of Mist Comp_2.pdf"
"Ma and Fujita - 2023 - Decentralized Incentive Scheme for Peer-to-Peer Vi.pdf",1,"Ma and Fujita - 2023 - Decentralized Incentive Scheme for Peer-to-Peer Vi_1.pdf"
"Makiabadi - 2021 - Edge Computing, Fog and MIST Architecture Analysis.pdf",1,"Makiabadi - 2021 - Edge Computing, Fog and MIST Architecture Analysis_1.pdf"
"Mann - 2021 - Notions of architecture in fog computing.pdf",1,"Mann - 2021 - Notions of architecture in fog computing_1.pdf"
"Maronga et al. - 2015 - The Parallelized Large-Eddy Simulation Model (PALM.pdf",1,"Maronga et al. - 2015 - The Parallelized Large-Eddy Simulation Model (PALM_1.pdf"
"Max Fischer et al. - 2020 - Effective Dynamic Integration and Utilization of Heterogenous Compute Resources.pdf",1,"Max Fischer et al. - 2020 - Effective Dynamic Integration and Utilization of Heterogenous Compute Resources_1.pdf"
"Mayrhofer et al. - 2021 - The Android Platform Security Model.pdf",1,"Mayrhofer et al. - 2021 - The Android Platform Security Model_1.pdf"
"Mishra et al. - 2023 - A Scalable and Computational Efficient Peer-to-Pee.pdf",1,"Mishra et al. - 2023 - A Scalable and Computational Efficient Peer-to-Pee_1.pdf"
"Mittal and Vetter - 2015 - A Survey of CPU-GPU Heterogeneous Computing Techni.pdf",1,"Mittal and Vetter - 2015 - A Survey of CPU-GPU Heterogeneous Computing Techni_1.pdf"
"Morabito et al. - 2017 - Evaluating Performance of Containerized IoT Servic.pdf",1,"Morabito et al. - 2017 - Evaluating Performance of Containerized IoT Servic_1.pdf"
"Mousa and Hussein - 2022 - Efficient UAV-based mobile edge computing using di.pdf",1,"Mousa and Hussein - 2022 - Efficient UAV-based mobile edge computing using di_1.pdf"
"Na and Park - 2022 - IoT-Chain and Monitoring-Chain Using Multilevel Bl.pdf",1,"Na and Park - 2022 - IoT-Chain and Monitoring-Chain Using Multilevel Bl_1.pdf"
"Naeem et al. - 2023 - Cache in fog computing design, concepts, contribut.pdf",1,"Naeem et al. - 2023 - Cache in fog computing design, concepts, contribut_1.pdf"
"Nayyar et al. - 2020 - Introduction to the Special Issue on Evolving IoT and Cyber-Physical Systems Advancements, Applicat.pdf",1,"Nayyar et al. - 2020 - Introduction to the Special Issue on Evolving IoT and Cyber-Physical Systems Advancements, Applicat_1.pdf"
"Osinachi Deborah Segun-Falade et al. - 2024 - Assessing the transformative impact of cloud compu.pdf",1,"Osinachi Deborah Segun-Falade et al. - 2024 - Assessing the transformative impact of cloud compu_1.pdf"
"Oñate and Sanz - 2023 - Analysis of architectures implemented for IIoT.pdf",1,"Oñate and Sanz - 2023 - Analysis of architectures implemented for IIoT_1.pdf"
"P. G. et al. - 2020 - A secure data deduplication system for integrated .pdf",1,"P. G. et al. - 2020 - A secure data deduplication system for integrated _1.pdf"
"P. S. Shevtekar et al. - 2023 - Cost-Effective Resource Allocation and Optimization Strategies for Multi-Cloud Environments.pdf",1,"P. S. Shevtekar et al. - 2023 - Cost-Effective Resource Allocation and Optimization Strategies for Multi-Cloud Environments_1.pdf"
"Palmer et al. - 2021 - Citizen science, computing, and conservation How .pdf",1,"Palmer et al. - 2021 - Citizen science, computing, and conservation How _1.pdf"
"Panigrahi et al. - 2023 - PQ-Mist Priority Queueing-Assisted Mist–Cloud–Fog.pdf",1,"Panigrahi et al. - 2023 - PQ-Mist Priority Queueing-Assisted Mist–Cloud–Fog_1.pdf"
"Paul - 2023 - Torrent Driven (TD) Coin A Crypto Coin with Built.pdf",1,"Paul - 2023 - Torrent Driven (TD) Coin A Crypto Coin with Built_1.pdf"
"Pethalakshmi and Jeyabharathi - 2014 - Geo-Chord Geographical Location based Chord Proto.pdf",1,"Pethalakshmi and Jeyabharathi - 2014 - Geo-Chord Geographical Location based Chord Proto_1.pdf"
"Pramanik et al. - 2024 - Correction to Sustainable edge computing with mob.pdf",1,"Pramanik et al. - 2024 - Correction to Sustainable edge computing with mob_1.pdf"
"Radoi et al. - 2015 - Are web applications ready for parallelism.pdf",1,"Radoi et al. - 2015 - Are web applications ready for parallelism_1.pdf"
"Rashid Abdulqadir et al. - 2021 - A Study of Moving from Cloud Computing to Fog Comp.pdf",2,"Rashid Abdulqadir et al. - 2021 - A Study of Moving from Cloud Computing to Fog Comp_1.pdf|Rashid Abdulqadir et al. - 2021 - A Study of Moving from Cloud Computing to Fog Comp_2.pdf"
"Reyna et al. - 2018 - On blockchain and its integration with IoT. Challenges and opportunities.pdf",1,"Reyna et al. - 2018 - On blockchain and its integration with IoT. Challenges and opportunities_1.pdf"
"Rzepka et al. - 2022 - SDN-based fog and cloud interplay for stream processing.pdf",1,"Rzepka et al. - 2022 - SDN-based fog and cloud interplay for stream processing_1.pdf"
"Sadawi et al. - 2021 - A Survey on the Integration of Blockchain With IoT to Enhance Performance and Eliminate Challenges.pdf",1,"Sadawi et al. - 2021 - A Survey on the Integration of Blockchain With IoT to Enhance Performance and Eliminate Challenges_1.pdf"
"Sadia Syed and Eid Albalawi - 2024 - Optimizing Cloud Resource Allocation with Machine Learning A Comprehensive Approach to Efficiency a.pdf",1,"Sadia Syed and Eid Albalawi - 2024 - Optimizing Cloud Resource Allocation with Machine Learning A Comprehensive Approach to Efficiency a_1.pdf"
"Sakhdari et al. - 2023 - Edge computing A systematic mapping study.pdf",1,"Sakhdari et al. - 2023 - Edge computing A systematic mapping study_1.pdf"
"Sanchez-Fernandez et al. - 2020 - Asynchronous processing for latent fingerprint ide.pdf",1,"Sanchez-Fernandez et al. - 2020 - Asynchronous processing for latent fingerprint ide_1.pdf"
"Santos et al. - 2017 - Fog Computing Enabling the Management and Orchest.pdf",1,"Santos et al. - 2017 - Fog Computing Enabling the Management and Orchest_1.pdf"
"Sasank Tummalpalli - 2025 - Decentralized Networking Models Reshaping Digital Architecture.pdf",1,"Sasank Tummalpalli - 2025 - Decentralized Networking Models Reshaping Digital Architecture_1.pdf"
"Savi and Olivadese - 2021 - Short-Term Energy Consumption Forecasting at the E.pdf",1,"Savi and Olivadese - 2021 - Short-Term Energy Consumption Forecasting at the E_1.pdf"
"Schutz et al. - 2021 - Decentralizing indexing and bootstrapping for onli.pdf",1,"Schutz et al. - 2021 - Decentralizing indexing and bootstrapping for onli_1.pdf"
"SCOPE, Vellore Institute of Technology, Chennai, India. et al. - 2021 - Android Security Analysis using Mobile Sandbox.pdf",1,"SCOPE, Vellore Institute of Technology, Chennai, India. et al. - 2021 - Android Security Analysis using Mobile Sandbox_1.pdf"
"Segun-Falade et al. - 2024 - Assessing the transformative impact of cloud compu.pdf",1,"Segun-Falade et al. - 2024 - Assessing the transformative impact of cloud compu_1.pdf"
"Shiraishi et al. - 2021 - Torrente, a micropayment based Bittorrent extensio.pdf",1,"Shiraishi et al. - 2021 - Torrente, a micropayment based Bittorrent extensio_1.pdf"
"Si,Yinghua Han et al. - 2023 - Cloud-edge-based We-Market Autonomous Bidding and.pdf",1,"Si,Yinghua Han et al. - 2023 - Cloud-edge-based We-Market Autonomous Bidding and_1.pdf"
"Sicart - 2023 - Torrent Driven (TD) Coin A Crypto Coin with Built In Distributed Data Storage System.pdf",1,"Sicart - 2023 - Torrent Driven (TD) Coin A Crypto Coin with Built In Distributed Data Storage System_1.pdf"
"Singh et al. - 2021 - Fog computing A taxonomy, systematic review, curr.pdf",1,"Singh et al. - 2021 - Fog computing A taxonomy, systematic review, curr_1.pdf"
"Snehal Kolte - 2024 - Efficient Resource Provisioning Approach Using Cloud Computing Environment.pdf",1,"Snehal Kolte - 2024 - Efficient Resource Provisioning Approach Using Cloud Computing Environment_1.pdf"
"Suárez-Albela et al. - 2018 - A Practical Evaluation on RSA and ECC-Based Cipher.pdf",1,"Suárez-Albela et al. - 2018 - A Practical Evaluation on RSA and ECC-Based Cipher_1.pdf"
"Tan et al. - 2015 - Building an Elastic Parallel OGC Web Processing Se.pdf",1,"Tan et al. - 2015 - Building an Elastic Parallel OGC Web Processing Se_1.pdf"
"Tandel et al. - 2021 - Modified Fully Homomorphic Encryption based on Par.pdf",1,"Tandel et al. - 2021 - Modified Fully Homomorphic Encryption based on Par_1.pdf"
"Tawalbeh and Saldamli - 2021 - Reconsidering big data security and privacy in clo.pdf",1,"Tawalbeh and Saldamli - 2021 - Reconsidering big data security and privacy in clo_1.pdf"
"Tian et al. - 2020 - Fast Planar Detection System Using a GPU-Based 3D .pdf",1,"Tian et al. - 2020 - Fast Planar Detection System Using a GPU-Based 3D _1.pdf"
"Toubi and Hajami - 2024 - Data Manipulation in Wireless Sensor Networks Enh.pdf",1,"Toubi and Hajami - 2024 - Data Manipulation in Wireless Sensor Networks Enh_1.pdf"
"Tuli et al. - 2018 - FogBus A Blockchain-based Lightweight Framework for Edge and Fog Computing.pdf",1,"Tuli et al. - 2018 - FogBus A Blockchain-based Lightweight Framework for Edge and Fog Computing_1.pdf"
"Tun et al. - 2020 - Optimizing Resource Discovery Technique in the P2P.pdf",1,"Tun et al. - 2020 - Optimizing Resource Discovery Technique in the P2P_1.pdf"
"Verena Kantere - 2020 - Processing Big Data Across Infrastructures.pdf",1,"Verena Kantere - 2020 - Processing Big Data Across Infrastructures_1.pdf"
"Vu et al. - 2019 - Blockchain-based Content Delivery Networks Conten.pdf",1,"Vu et al. - 2019 - Blockchain-based Content Delivery Networks Conten_1.pdf"
"Wadhwa et al. - 2022 - Energy Efficient Consensus Approach of Blockchain .pdf",1,"Wadhwa et al. - 2022 - Energy Efficient Consensus Approach of Blockchain _1.pdf"
"Wang - 2016 - Definition and Categorization of Dew Computing.pdf",1,"Wang - 2016 - Definition and Categorization of Dew Computing_1.pdf"
"Wang and Guan - 2023 - A blockchain-based traceable and secure data-shari.pdf",1,"Wang and Guan - 2023 - A blockchain-based traceable and secure data-shari_1.pdf"
"Wang and Nakazato - 2015 - Failure Detection in P2P-Grid System.pdf",1,"Wang and Nakazato - 2015 - Failure Detection in P2P-Grid System_1.pdf"
"Wang et al. - 2019 - Blockchain-Based Resource Allocation Model in Fog .pdf",3,"Wang et al. - 2019 - Blockchain-Based Resource Allocation Model in Fog _1.pdf|Wang et al. - 2019 - Blockchain-Based Resource Allocation Model in Fog _2.pdf|Wang et al. - 2019 - Blockchain-Based Resource Allocation Model in Fog _3.pdf"
"Wethor and Hale - 2022 - “StudySandboxx A Tool for Scraping, Sandboxing, P.pdf",1,"Wethor and Hale - 2022 - “StudySandboxx A Tool for Scraping, Sandboxing, P_1.pdf"
"Wu et al. - 2018 - Service-Oriented Feature-Based Data Exchange for C.pdf",1,"Wu et al. - 2018 - Service-Oriented Feature-Based Data Exchange for C_1.pdf"
"Xu et al. - 2020 - Blockchain-enabled resource management and sharing for 6G communications.pdf",1,"Xu et al. - 2020 - Blockchain-enabled resource management and sharing for 6G communications_1.pdf"
"Yang and Chao - 2022 - Massive Speech Recognition Resource Scheduling Sys.pdf",1,"Yang and Chao - 2022 - Massive Speech Recognition Resource Scheduling Sys_1.pdf"
"Yasrab - 2019 - Grid Computing Model for Mobile A Better Mobile G.pdf",1,"Yasrab - 2019 - Grid Computing Model for Mobile A Better Mobile G_1.pdf"
"Yousefpour et al. - 2019 - All one needs to know about fog computing and rela.pdf",1,"Yousefpour et al. - 2019 - All one needs to know about fog computing and rela_1.pdf"
"Zhang et al. - 2018 - Data Security and Privacy-Preserving in Edge Compu.pdf",1,"Zhang et al. - 2018 - Data Security and Privacy-Preserving in Edge Compu_1.pdf"
"Zhang et al. - 2024 - Application of Machine Learning Optimization in Cl.pdf",1,"Zhang et al. - 2024 - Application of Machine Learning Optimization in Cl_1.pdf"
"Zhou et al. - 2015 - Supporting dynamic GPU computing result reuse in t.pdf",2,"Zhou et al. - 2015 - Supporting dynamic GPU computing result reuse in t_1.pdf|Zhou et al. - 2015 - Supporting dynamic GPU computing result reuse in t_2.pdf"
"Zhu et al. - 2023 - Intelligent Computing The Latest Advances, Challe.pdf",1,"Zhu et al. - 2023 - Intelligent Computing The Latest Advances, Challe_1.pdf"
